               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,             0.00981,           0.0034191,          0.00090034,             0.53262,             0.73522,             0.62193,             0.46246,            0.023212,           0.0068284,            0.067949,            0.004357,            0.004357,            0.004357
                 116,           0.0096181,           0.0034267,          0.00070814,             0.54889,             0.69072,             0.59523,             0.44817,            0.023519,           0.0072667,            0.072268,           0.0043075,           0.0043075,           0.0043075
                 117,           0.0095177,           0.0031643,          0.00075876,             0.56252,             0.72998,             0.61214,             0.44927,            0.024032,           0.0072062,            0.060631,            0.004258,            0.004258,            0.004258
                 118,            0.010246,           0.0035336,          0.00064495,             0.54499,             0.72373,             0.59616,             0.44341,            0.023558,           0.0071103,            0.066045,           0.0042085,           0.0042085,           0.0042085
                 119,           0.0095828,           0.0033726,          0.00050938,             0.53049,             0.69211,             0.59666,             0.44375,            0.023638,           0.0072383,            0.068838,            0.004159,            0.004159,            0.004159
                 120,           0.0098914,           0.0034694,          0.00085058,             0.52948,             0.70629,             0.60535,             0.45012,             0.02329,           0.0071668,            0.070522,           0.0041095,           0.0041095,           0.0041095
                 121,           0.0092761,           0.0031488,          0.00049423,             0.52347,             0.68361,             0.57729,             0.42374,            0.023707,           0.0066443,            0.084981,             0.00406,             0.00406,             0.00406
                 122,            0.010045,           0.0033333,          0.00050982,             0.56071,             0.64801,             0.57147,             0.41765,             0.02381,           0.0072171,            0.064128,           0.0040105,           0.0040105,           0.0040105
                 123,           0.0091722,           0.0031106,          0.00049589,             0.56646,             0.69236,             0.60606,             0.44931,            0.023334,           0.0067295,            0.067459,            0.003961,            0.003961,            0.003961
                 124,           0.0095263,           0.0033063,          0.00063038,             0.53138,             0.71499,             0.61367,             0.45311,            0.023093,           0.0068421,            0.072869,           0.0039115,           0.0039115,           0.0039115
                 125,           0.0098002,            0.003306,          0.00063355,             0.50771,             0.65703,             0.55835,             0.42251,            0.023539,           0.0070866,            0.082003,            0.003862,            0.003862,            0.003862
                 126,           0.0092527,           0.0031816,          0.00068768,             0.57248,             0.63901,             0.58319,              0.4364,            0.023654,           0.0071904,            0.059103,           0.0038125,           0.0038125,           0.0038125
                 127,           0.0097746,           0.0032511,          0.00067665,             0.54631,             0.71921,               0.602,             0.44784,             0.02337,           0.0069032,            0.067355,            0.003763,            0.003763,            0.003763
